run_id,scenario_id,condition,zone,permit_type,compound_active,ground_truth_onset_sample,path
310b4bcba178,s1_reactor_heat_removal,normal,reactor_zone,confined_space,False,,data/synthetic/s1_reactor_heat_removal/normal/310b4bcba178.parquet
664150a80cc4,s1_reactor_heat_removal,normal,reactor_zone,confined_space,False,,data/synthetic/s1_reactor_heat_removal/normal/664150a80cc4.parquet
a426312ca49b,s1_reactor_heat_removal,normal,reactor_zone,confined_space,False,,data/synthetic/s1_reactor_heat_removal/normal/a426312ca49b.parquet
9241f61edd23,s1_reactor_heat_removal,normal,reactor_zone,confined_space,False,,data/synthetic/s1_reactor_heat_removal/normal/9241f61edd23.parquet
b30a22976bdd,s1_reactor_heat_removal,normal,reactor_zone,confined_space,False,,data/synthetic/s1_reactor_heat_removal/normal/b30a22976bdd.parquet
6a04fbc6aa29,s1_reactor_heat_removal,normal,reactor_zone,confined_space,False,,data/synthetic/s1_reactor_heat_removal/normal/6a04fbc6aa29.parquet
64b46ff3d839,s1_reactor_heat_removal,normal,reactor_zone,confined_space,False,,data/synthetic/s1_reactor_heat_removal/normal/64b46ff3d839.parquet
3ddd8d6a4591,s1_reactor_heat_removal,normal,reactor_zone,confined_space,False,,data/synthetic/s1_reactor_heat_removal/normal/3ddd8d6a4591.parquet
0361c1d8664c,s1_reactor_heat_removal,normal,reactor_zone,confined_space,False,,data/synthetic/s1_reactor_heat_removal/normal/0361c1d8664c.parquet
9344a452ca40,s1_reactor_heat_removal,normal,reactor_zone,confined_space,False,,data/synthetic/s1_reactor_heat_removal/normal/9344a452ca40.parquet
e6d6f3e17325,s1_reactor_heat_removal,normal,reactor_zone,confined_space,False,,data/synthetic/s1_reactor_heat_removal/normal/e6d6f3e17325.parquet
4f91969b9440,s1_reactor_heat_removal,normal,reactor_zone,confined_space,False,,data/synthetic/s1_reactor_heat_removal/normal/4f91969b9440.parquet
eaf5416eb4b6,s1_reactor_heat_removal,normal,reactor_zone,confined_space,False,,data/synthetic/s1_reactor_heat_removal/normal/eaf5416eb4b6.parquet
4e3d51a800e8,s1_reactor_heat_removal,normal,reactor_zone,confined_space,False,,data/synthetic/s1_reactor_heat_removal/normal/4e3d51a800e8.parquet
99ed108a807d,s1_reactor_heat_removal,normal,reactor_zone,confined_space,False,,data/synthetic/s1_reactor_heat_removal/normal/99ed108a807d.parquet
9c81f8b9b74f,s1_reactor_heat_removal,normal,reactor_zone,confined_space,False,,data/synthetic/s1_reactor_heat_removal/normal/9c81f8b9b74f.parquet
8b9f735028ba,s1_reactor_heat_removal,normal,reactor_zone,confined_space,False,,data/synthetic/s1_reactor_heat_removal/normal/8b9f735028ba.parquet
